id,start_date,end_date,created_by,updated_by,buyer_site_id,vds_rltn_id,description
97,09/09/2021,08/06/2022,4066,2544,3295,4473,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem."
98,06/05/2022,26/10/2021,1045,1602,547,1829,"Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo."
99,17/05/2022,20/06/2021,4853,2059,2634,4472,"Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam."
100,27/02/2022,20/05/2022,709,74,1140,2687,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique."
101,29/09/2021,10/08/2021,2643,2110,3229,4401,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.
102,27/05/2022,28/09/2021,612,1897,2275,4089,In sagittis dui vel nisl.
103,05/10/2021,01/12/2021,4091,1717,114,335,Nullam sit amet turpis elementum ligula vehicula consequat.
104,14/06/2021,26/10/2021,4092,4098,3748,3593,Aenean lectus. Pellentesque eget nunc.
105,22/12/2021,25/01/2022,37,4679,3757,2907,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum."
106,12/05/2022,08/12/2021,683,498,3938,712,Proin risus. Praesent lectus.
107,08/03/2022,08/02/2022,801,4860,3853,159,Curabitur gravida nisi at nibh. In hac habitasse platea dictumst.
108,05/06/2022,18/06/2021,1034,3245,1272,3751,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien."
109,20/02/2022,28/12/2021,1374,3207,2812,4228,"Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien."
110,27/09/2021,08/02/2022,665,1375,1495,305,Ut at dolor quis odio consequat varius. Integer ac leo.
111,11/03/2022,18/07/2021,4571,1095,3666,1627,Sed sagittis.
112,01/11/2021,29/12/2021,2940,1707,2843,3450,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.
113,23/08/2021,04/02/2022,2833,4000,222,3543,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis."
114,09/09/2021,29/06/2021,4253,3052,2446,2219,"Fusce consequat. Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus."
115,11/05/2022,29/01/2022,3379,1205,3075,624,Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl. Duis ac nibh.
116,25/08/2021,05/03/2022,2593,4660,1241,1359,Quisque ut erat. Curabitur gravida nisi at nibh.
117,27/12/2021,12/12/2021,1245,3480,2027,3866,"Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede."
118,05/04/2022,31/10/2021,1626,1160,1474,345,"Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus."
119,18/06/2021,14/10/2021,194,4991,3551,2460,"Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus."
120,11/03/2022,28/01/2022,4625,737,2478,2617,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus."
121,07/07/2021,28/04/2022,3745,4268,3512,3839,"Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus."
122,07/10/2021,18/07/2021,3644,3816,3318,3160,Nam dui.
123,09/07/2021,10/11/2021,2489,3271,3266,2924,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum."
124,05/06/2022,07/02/2022,2076,1073,3815,1380,In hac habitasse platea dictumst. Etiam faucibus cursus urna.
125,21/10/2021,19/06/2021,1413,2975,4519,2604,"Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo."
126,26/11/2021,14/06/2021,3518,3239,4293,2515,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat."
127,17/08/2021,29/08/2021,2581,4336,3514,1556,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.
128,15/03/2022,19/04/2022,1676,4289,1953,3687,Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor. Duis mattis egestas metus. Aenean fermentum.
129,04/11/2021,04/01/2022,386,3589,3272,1697,Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.
130,11/07/2021,23/11/2021,4017,2738,765,3252,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio."
131,06/07/2021,24/11/2021,2272,4094,2350,3185,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis."
132,14/08/2021,30/07/2021,2928,2502,2835,4760,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci."
133,03/03/2022,21/08/2021,2499,3419,1671,3997,"Proin risus. Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio."
134,25/10/2021,21/07/2021,558,2578,1659,690,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis."
135,07/10/2021,28/04/2022,1555,4535,2650,2718,Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.
136,15/01/2022,24/01/2022,1565,556,3316,652,Proin interdum mauris non ligula pellentesque ultrices.
137,29/10/2021,16/08/2021,346,3272,2752,165,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci."
138,25/06/2021,20/01/2022,1259,2258,3633,3599,Integer ac leo.
139,14/02/2022,29/10/2021,4833,1358,1978,2482,"Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis."
140,27/04/2022,12/12/2021,3627,4738,850,3370,Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla.
141,07/05/2022,13/04/2022,1172,4333,3363,177,"Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl. Nunc nisl."
142,28/06/2021,15/01/2022,81,3638,3970,3311,"Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante."
143,15/10/2021,26/02/2022,2830,811,2002,204,Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.
144,06/12/2021,10/06/2022,4320,2943,4504,3335,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl."
145,10/08/2021,01/10/2021,3973,4277,1507,4108,In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.
146,01/07/2021,19/01/2022,2841,1438,1397,389,"Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante."
147,04/09/2021,10/11/2021,193,9,2990,2058,Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum.
148,01/10/2021,18/09/2021,3693,1240,1049,1958,Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.
149,11/09/2021,31/08/2021,4173,4478,1561,1427,Sed accumsan felis. Ut at dolor quis odio consequat varius.
150,03/10/2021,15/03/2022,796,2632,291,1106,"Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis."
151,21/01/2022,05/03/2022,4300,4401,3414,4710,Ut tellus. Nulla ut erat id mauris vulputate elementum.
152,18/10/2021,18/05/2022,465,806,1390,3098,"In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam."
153,07/06/2022,20/02/2022,647,2646,3378,2706,"Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis."
154,20/01/2022,28/11/2021,4077,1414,2164,782,Praesent lectus.
155,09/08/2021,18/01/2022,3148,1407,4333,4548,Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio.
156,18/07/2021,13/06/2021,2607,3400,3050,2389,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh. In quis justo.
157,19/04/2022,01/08/2021,2370,3629,564,3951,"Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus."
158,18/05/2022,19/04/2022,3863,3777,777,2098,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus."
