id,user_id,description,start_date,end_date,created_by,updated_by,vendor_table_ref_id,buyer_site_table_ref_id,dealer_site_table_ref_id
30,30,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis.",08/06/2022,26/09/2021,3144,3203,4525,4979,1510
31,31,Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh. In quis justo.,23/12/2021,04/04/2022,3465,3731,4613,4791,3582
32,32,Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna.,30/09/2021,29/05/2022,1063,4388,3158,2191,1499
33,33,Morbi non quam nec dui luctus rutrum.,02/02/2022,20/08/2021,1007,173,165,3519,342
34,34,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis. Donec semper sapien a libero. Nam dui.",24/07/2021,30/05/2022,606,1524,1320,344,571
35,35,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.,22/02/2022,28/05/2022,1197,4018,3055,862,3318
36,36,"Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",16/11/2021,16/12/2021,941,1846,1037,3412,3752
37,37,"Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio.",23/06/2021,20/06/2021,3791,4680,970,4807,4113
38,38,"Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis.",13/04/2022,06/06/2022,2117,3195,3705,2091,3276
39,39,"Nunc purus. Phasellus in felis. Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",05/12/2021,26/01/2022,2311,71,2246,3931,2461
40,40,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",12/01/2022,21/05/2022,3039,4882,1839,2252,4100
41,41,"Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",25/12/2021,06/02/2022,4799,2428,4864,3405,2707
42,42,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.",29/07/2021,20/03/2022,4379,911,1094,3250,1074
43,43,Aliquam erat volutpat. In congue. Etiam justo. Etiam pretium iaculis justo.,19/07/2021,07/09/2021,4103,3988,196,2314,561
44,44,Nulla nisl. Nunc nisl.,23/03/2022,18/09/2021,3957,1345,4180,366,3595
45,45,"Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",02/02/2022,15/09/2021,788,2222,3108,1048,1371
46,46,"Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus.",08/11/2021,25/06/2021,3303,1136,2630,4596,146
47,47,In hac habitasse platea dictumst.,27/09/2021,22/05/2022,3725,3353,4778,3820,4246
48,48,Maecenas pulvinar lobortis est.,25/09/2021,24/06/2021,459,2889,3949,2738,564
49,49,"Nulla tellus. In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti.",01/10/2021,09/08/2021,2934,902,3975,1260,2595
50,50,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum.,03/12/2021,25/08/2021,4220,501,3326,4692,4122
51,51,"In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum.",06/03/2022,22/07/2021,1738,2880,4719,4653,219
52,52,"In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum.",14/06/2021,28/10/2021,2430,1429,3237,2512,2814
53,53,"Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis.",23/07/2021,14/12/2021,3284,3283,2423,1464,2002
54,54,Aenean auctor gravida sem.,01/05/2022,24/08/2021,1375,648,2384,686,2140
55,55,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",28/07/2021,20/02/2022,4713,3502,3224,3315,1124
56,56,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",27/03/2022,18/08/2021,854,4867,1506,1724,4620
57,57,"Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus.",28/09/2021,24/06/2021,683,2384,1590,4770,3011
58,58,Suspendisse potenti.,12/04/2022,19/06/2021,918,4346,2291,2915,4858
59,59,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius.,16/03/2022,18/04/2022,727,1325,4477,4185,4389
60,60,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",19/07/2021,22/05/2022,2779,3599,867,1791,3411
61,61,"Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",03/10/2021,06/11/2021,92,2371,1757,1021,1256
62,62,In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh.,25/08/2021,09/04/2022,1053,4261,978,4611,1387
63,63,Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,28/05/2022,05/05/2022,2346,1581,3139,3347,1585
64,64,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",28/11/2021,20/05/2022,2620,1002,418,234,2512
65,65,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi.,14/05/2022,16/12/2021,4908,1022,3682,3204,1420
66,66,Morbi non quam nec dui luctus rutrum.,14/09/2021,08/04/2022,4053,4180,2121,2654,4853
67,67,"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",05/12/2021,03/05/2022,1079,1399,3118,2633,2915
68,68,"Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien.",01/04/2022,15/08/2021,1225,3991,1892,3997,854
69,69,"Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat.",25/10/2021,28/10/2021,3021,3995,4440,3114,4285
70,70,Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius.,18/11/2021,02/11/2021,2869,738,2244,4133,901
71,71,Nullam porttitor lacus at turpis.,06/07/2021,28/10/2021,578,658,4595,199,235
72,72,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",16/06/2021,27/07/2021,679,1436,1569,650,2419
73,73,Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,15/07/2021,25/08/2021,3404,4738,3172,2581,1230
74,74,"Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",23/03/2022,28/07/2021,1073,153,4554,4853,1299
75,75,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.",24/04/2022,09/02/2022,2853,1382,1313,2370,227
76,76,Aliquam erat volutpat. In congue. Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst.,10/06/2022,28/10/2021,2637,4699,4302,3686,2105
77,77,Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.,20/11/2021,09/01/2022,1420,3255,4212,128,1846
78,78,In congue. Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna.,16/09/2021,09/01/2022,415,3216,1365,4418,2385
79,79,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat. In congue.",28/08/2021,18/06/2021,4654,3833,3618,1103,640
80,80,In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,11/12/2021,31/08/2021,2929,1208,3098,2826,1014
81,81,Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,30/01/2022,03/06/2022,1553,4905,4785,1761,12
82,82,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh.,02/06/2022,02/09/2021,345,1719,2712,739,1173
83,83,Aliquam erat volutpat. In congue. Etiam justo. Etiam pretium iaculis justo.,12/01/2022,17/07/2021,2274,1214,2186,3802,1376
84,84,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend.,28/10/2021,26/04/2022,3680,3332,2908,4998,1730
85,85,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus.",01/08/2021,20/06/2021,4505,1986,1870,3008,415
86,86,In hac habitasse platea dictumst.,09/04/2022,01/01/2022,4913,4241,372,1777,1981
87,87,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",09/06/2022,28/12/2021,3246,3872,777,3254,1544
88,88,Nunc rhoncus dui vel sem. Sed sagittis.,16/07/2021,16/02/2022,3493,1293,624,724,3833
89,89,Phasellus in felis. Donec semper sapien a libero. Nam dui.,17/12/2021,20/08/2021,2223,426,3833,1484,239
90,90,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",29/04/2022,24/09/2021,2146,1531,2101,4602,2267
91,91,Morbi vel lectus in quam fringilla rhoncus.,22/12/2021,18/05/2022,4513,4865,1124,3173,1458
92,92,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique.",04/05/2022,05/08/2021,4445,4789,2076,2495,3765
93,93,Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh. In quis justo.,03/10/2021,29/04/2022,3599,1961,2059,3860,1269
94,94,Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit.,04/09/2021,23/05/2022,1916,1788,4239,2865,4926
95,95,Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,25/02/2022,08/04/2022,1756,776,3861,3157,17
96,96,"In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",15/10/2021,20/04/2022,3101,2095,2900,131,875
97,97,Mauris ullamcorper purus sit amet nulla.,31/07/2021,24/03/2022,1237,683,3419,4164,2598
98,98,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque.",15/07/2021,30/12/2021,932,3709,2560,2280,778
99,99,In hac habitasse platea dictumst. Etiam faucibus cursus urna.,13/05/2022,30/06/2021,1091,3753,2442,4626,1908
100,100,Vivamus in felis eu sapien cursus vestibulum.,16/06/2021,27/06/2021,3846,78,4058,39,2954
101,101,"Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",18/04/2022,24/06/2021,4435,1851,4738,2598,3288
102,102,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.",22/08/2021,18/01/2022,4997,4322,4675,4812,4208
103,103,Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius.,10/03/2022,21/01/2022,3294,2013,4764,352,4898
104,104,"Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",02/09/2021,05/02/2022,3154,1013,4649,1201,4009
105,105,Morbi non lectus.,24/10/2021,16/11/2021,3187,2121,44,3344,136
106,106,Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla.,22/05/2022,09/02/2022,4015,3037,2645,4150,588
107,107,Pellentesque ultrices mattis odio. Donec vitae nisi.,23/02/2022,03/09/2021,1540,1984,3239,4728,2168
108,108,Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,17/07/2021,03/05/2022,1220,1876,1542,468,4053
109,109,Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,13/06/2021,03/10/2021,1929,4894,866,301,615
110,110,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",25/03/2022,13/12/2021,5000,2340,3163,2699,2937
111,111,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius.,03/12/2021,11/01/2022,1125,1848,1717,4075,2175
112,112,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum.",18/08/2021,10/02/2022,244,1242,2632,4839,2122
113,113,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl.",26/03/2022,12/04/2022,3546,4349,2367,574,527
114,114,Aliquam erat volutpat.,18/04/2022,14/01/2022,2309,1666,2009,2808,3500
115,115,"In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.",23/06/2021,27/08/2021,942,3559,2795,1134,319
116,116,"Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",30/01/2022,15/06/2021,3070,3690,2869,4822,81
117,117,Nulla nisl. Nunc nisl.,26/12/2021,12/05/2022,2222,115,3449,1308,3167
118,118,"Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellentesque eget nunc.",05/08/2021,20/07/2021,4669,1810,303,275,1118
119,119,Donec posuere metus vitae ipsum. Aliquam non mauris.,12/11/2021,19/01/2022,2241,4791,343,2050,1969
120,120,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",04/08/2021,19/07/2021,1934,4008,3812,4091,4726
121,121,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.,18/05/2022,25/11/2021,248,4739,1851,4931,4459
122,122,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo.,01/08/2021,16/08/2021,4981,182,4939,3662,4173
123,123,Morbi a ipsum.,26/02/2022,28/02/2022,2426,1532,3653,4696,144
124,124,In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,10/10/2021,13/05/2022,2142,1954,4736,415,4433
125,125,Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,17/07/2021,28/02/2022,3329,2590,798,1516,3026
126,126,Duis bibendum.,18/01/2022,24/12/2021,3398,1867,4008,257,921
127,127,Praesent blandit. Nam nulla.,20/08/2021,26/05/2022,3993,3413,3327,112,2310
128,128,Aliquam non mauris. Morbi non lectus.,05/07/2021,08/01/2022,4240,398,3873,731,447
129,129,"Proin risus. Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",28/04/2022,11/10/2021,3097,1945,2523,1305,4866
130,130,"Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",30/09/2021,08/11/2021,514,453,3850,3958,4886
131,131,"Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",02/03/2022,09/08/2021,4192,2737,2951,2179,3248
132,132,Suspendisse accumsan tortor quis turpis.,06/12/2021,28/03/2022,464,103,3168,1570,3030
133,133,Fusce consequat. Nulla nisl. Nunc nisl.,08/08/2021,06/07/2021,2819,1093,4190,4762,2060
134,134,Donec semper sapien a libero. Nam dui.,30/06/2021,16/02/2022,4499,4066,239,4399,899
135,135,Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus.,26/06/2021,29/09/2021,1552,1723,4712,3099,2771
136,136,Duis at velit eu est congue elementum.,04/01/2022,26/07/2021,1582,2720,933,4165,2565
137,137,"Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.",09/08/2021,02/11/2021,2188,3269,1414,2741,1097
138,138,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",17/04/2022,25/09/2021,3001,563,2879,1041,2265
139,139,Donec ut mauris eget massa tempor convallis.,30/12/2021,23/01/2022,3604,1459,384,986,1047
140,140,Suspendisse potenti. Nullam porttitor lacus at turpis.,29/08/2021,10/07/2021,4693,1217,136,3053,3052
141,141,"Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",29/08/2021,15/12/2021,2539,508,3591,4366,3336
142,142,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl.",14/04/2022,12/08/2021,2933,82,1812,3995,878
143,143,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti.",18/06/2021,13/09/2021,4555,893,4769,102,986
144,144,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",18/07/2021,26/04/2022,1652,4805,4584,638,1855
145,145,"In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum.",22/08/2021,16/08/2021,2153,3357,4361,4737,3563
146,146,Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.,22/05/2022,22/12/2021,4298,1277,1181,671,4031
147,147,Curabitur at ipsum ac tellus semper interdum.,26/05/2022,22/11/2021,3494,1715,4855,1733,634
148,148,Morbi a ipsum. Integer a nibh.,24/10/2021,17/04/2022,4032,691,127,972,524
149,149,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",17/08/2021,27/09/2021,1524,3705,48,1736,2592
150,150,Donec semper sapien a libero. Nam dui.,13/04/2022,15/05/2022,2131,2494,4462,3752,1784
151,151,Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum.,15/04/2022,05/06/2022,3815,2354,1251,813,1301
152,152,"Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum.",30/05/2022,12/10/2021,1232,4335,281,1408,4171
153,153,Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros.,08/06/2022,19/01/2022,3926,2077,3637,736,1102
